RecordID,Year,Month,Name,Value
1,2009,1,RM Category,10 rm
1,2009,1,C.LK98,218
1,2009,1,P.LK98,1178948
1,2009,1,C.1K,56
1,2009,1,D.1K,319316
1,2009,1,C.NLP3,162
1,2009,1,P.NLP3,859632
1,2009,1,C_1K,56
1,2009,1,C_LK98,218
1,2009,1,C_NLP3,162
1,2009,1,D_1K,319316
1,2009,1,P_LK98,1178948
1,2009,1,P_NLP3,859632
1,2009,1,Input_#3_C_1K,56
1,2009,1,Input_#3_C_LK98,218
1,2009,1,Input_#3_C_NLP3,162
1,2009,1,Input_#3_D_1K,319316
1,2009,1,Input_#3_P_LK98,1178948
1,2009,1,Input_#3_P_NLP3,859632
2,2009,2,RM Category,10 rm
2,2009,2,C.LK98,200
2,2009,2,P.LK98,1066974
2,2009,2,C.1K,44
2,2009,2,D.1K,248806
2,2009,2,C.NLP3,156
2,2009,2,P.NLP3,818168
2,2009,2,C_1K,52
2,2009,2,C_LK98,212
2,2009,2,C_NLP3,160
2,2009,2,D_1K,295812.666666667
2,2009,2,P_LK98,1141623.33333333
2,2009,2,P_NLP3,845810.666666667
2,2009,2,Input_#3_C_1K,54
2,2009,2,Input_#3_C_LK98,215
2,2009,2,Input_#3_C_NLP3,161
2,2009,2,Input_#3_D_1K,307564.333333333
2,2009,2,Input_#3_P_LK98,1160285.66666667
2,2009,2,Input_#3_P_NLP3,852721.333333333
3,2009,3,RM Category,10 rm
3,2009,3,C.LK98,272
3,2009,3,P.LK98,1399758
3,2009,3,C.1K,52
3,2009,3,D.1K,285730
3,2009,3,C.NLP3,220
3,2009,3,P.NLP3,1114028
3,2009,3,C_1K,50.6666666666667
3,2009,3,C_LK98,230
3,2009,3,C_NLP3,179.333333333333
3,2009,3,D_1K,284617.333333333
3,2009,3,P_LK98,1215226.66666667
3,2009,3,P_NLP3,930609.333333333
3,2009,3,Input_#3_C_1K,53.3333333333333
3,2009,3,Input_#3_C_LK98,224
3,2009,3,Input_#3_C_NLP3,170.666666666667
3,2009,3,Input_#3_D_1K,301966.666666667
3,2009,3,Input_#3_P_LK98,1197087.33333333
3,2009,3,Input_#3_P_NLP3,895120.666666667
4,2009,4,RM Category,10 rm
4,2009,4,C.LK98,178
4,2009,4,P.LK98,996182
4,2009,4,C.1K,42
4,2009,4,D.1K,235730
4,2009,4,C.NLP3,136
4,2009,4,P.NLP3,760452
4,2009,4,C_1K,46
4,2009,4,C_LK98,216.666666666667
4,2009,4,C_NLP3,170.666666666667
4,2009,4,D_1K,256755.333333333
4,2009,4,P_LK98,1154304.66666667
4,2009,4,P_NLP3,897549.333333333
4,2009,4,Input_#3_C_1K,51
4,2009,4,Input_#3_C_LK98,217.333333333333
4,2009,4,Input_#3_C_NLP3,166.333333333333
4,2009,4,Input_#3_D_1K,288035.666666667
4,2009,4,Input_#3_P_LK98,1166626.33333333
4,2009,4,Input_#3_P_NLP3,878590.666666667
5,2009,5,RM Category,10 rm
5,2009,5,C.LK98,200
5,2009,5,P.LK98,1117158
5,2009,5,C.1K,60
5,2009,5,D.1K,333908
5,2009,5,C.NLP3,140
5,2009,5,P.NLP3,783250
5,2009,5,C_1K,51.3333333333333
5,2009,5,C_LK98,216.666666666667
5,2009,5,C_NLP3,165.333333333333
5,2009,5,D_1K,285122.666666667
5,2009,5,P_LK98,1171032.66666667
5,2009,5,P_NLP3,885910
5,2009,5,Input_#3_C_1K,51.6666666666667
5,2009,5,Input_#3_C_LK98,214.333333333333
5,2009,5,Input_#3_C_NLP3,162.666666666667
5,2009,5,Input_#3_D_1K,290467.666666667
5,2009,5,Input_#3_P_LK98,1156328
5,2009,5,Input_#3_P_NLP3,865860.333333333
6,2009,6,RM Category,10 rm
6,2009,6,C.LK98,258
6,2009,6,P.LK98,1356456
6,2009,6,C.1K,70
6,2009,6,D.1K,371568
6,2009,6,C.NLP3,188
6,2009,6,P.NLP3,984888
6,2009,6,C_1K,57.3333333333333
6,2009,6,C_LK98,212
6,2009,6,C_NLP3,154.666666666667
6,2009,6,D_1K,313735.333333333
6,2009,6,P_LK98,1156598.66666667
6,2009,6,P_NLP3,842863.333333333
6,2009,6,Input_#3_C_1K,54
6,2009,6,Input_#3_C_LK98,221
6,2009,6,Input_#3_C_NLP3,167
6,2009,6,Input_#3_D_1K,299176.333333333
6,2009,6,Input_#3_P_LK98,1185912.66666667
6,2009,6,Input_#3_P_NLP3,886736.333333333
7,2009,7,RM Category,10 rm
7,2009,7,C.LK98,270
7,2009,7,P.LK98,1358426
7,2009,7,C.1K,68
7,2009,7,D.1K,343940
7,2009,7,C.NLP3,202
7,2009,7,P.NLP3,1014486
7,2009,7,C_1K,66
7,2009,7,C_LK98,242.666666666667
7,2009,7,C_NLP3,176.666666666667
7,2009,7,D_1K,349805.333333333
7,2009,7,P_LK98,1277346.66666667
7,2009,7,P_NLP3,927541.333333333
7,2009,7,Input_#3_C_1K,56
7,2009,7,Input_#3_C_LK98,229.666666666667
7,2009,7,Input_#3_C_NLP3,173.666666666667
7,2009,7,Input_#3_D_1K,303280.333333333
7,2009,7,Input_#3_P_LK98,1215825.66666667
7,2009,7,Input_#3_P_NLP3,912545.333333333
8,2009,8,RM Category,10 rm
8,2009,8,C.LK98,260
8,2009,8,P.LK98,1170142
8,2009,8,C.1K,48
8,2009,8,D.1K,236706
8,2009,8,C.NLP3,212
8,2009,8,P.NLP3,933436
8,2009,8,C_1K,62
8,2009,8,C_LK98,262.666666666667
8,2009,8,C_NLP3,200.666666666667
8,2009,8,D_1K,317404.666666667
8,2009,8,P_LK98,1295008
8,2009,8,P_NLP3,977603.333333333
8,2009,8,Input_#3_C_1K,56.6666666666667
8,2009,8,Input_#3_C_LK98,239.666666666667
8,2009,8,Input_#3_C_NLP3,183
8,2009,8,Input_#3_D_1K,301263.666666667
8,2009,8,Input_#3_P_LK98,1233020.33333333
8,2009,8,Input_#3_P_NLP3,931756.666666667
9,2009,9,RM Category,10 rm
9,2009,9,C.LK98,402
9,2009,9,P.LK98,1876124
9,2009,9,C.1K,74
9,2009,9,D.1K,386406
9,2009,9,C.NLP3,328
9,2009,9,P.NLP3,1489718
9,2009,9,C_1K,63.3333333333333
9,2009,9,C_LK98,310.666666666667
9,2009,9,C_NLP3,247.333333333333
9,2009,9,D_1K,322350.666666667
9,2009,9,P_LK98,1468230.66666667
9,2009,9,P_NLP3,1145880
9,2009,9,Input_#3_C_1K,60.3333333333333
9,2009,9,Input_#3_C_LK98,261.333333333333
9,2009,9,Input_#3_C_NLP3,201
9,2009,9,Input_#3_D_1K,318043
9,2009,9,Input_#3_P_LK98,1312414.66666667
9,2009,9,Input_#3_P_NLP3,994371.666666667
10,2009,10,RM Category,10 rm
10,2009,10,C.LK98,234
10,2009,10,P.LK98,1234650
10,2009,10,C.1K,74
10,2009,10,D.1K,370878
10,2009,10,C.NLP3,160
10,2009,10,P.NLP3,863772
10,2009,10,C_1K,65.3333333333333
10,2009,10,C_LK98,298.666666666667
10,2009,10,C_NLP3,233.333333333333
10,2009,10,D_1K,331330
10,2009,10,P_LK98,1426972
10,2009,10,P_NLP3,1095642
10,2009,10,Input_#3_C_1K,65.6666666666667
10,2009,10,Input_#3_C_LK98,270.666666666667
10,2009,10,Input_#3_C_NLP3,205
10,2009,10,Input_#3_D_1K,340567.666666667
10,2009,10,Input_#3_P_LK98,1352159.33333333
10,2009,10,Input_#3_P_NLP3,1011591.66666667
11,2009,11,RM Category,10 rm
11,2009,11,C.LK98,250
11,2009,11,P.LK98,1215374
11,2009,11,C.1K,66
11,2009,11,D.1K,328512
11,2009,11,C.NLP3,184
11,2009,11,P.NLP3,886862
11,2009,11,C_1K,71.3333333333333
11,2009,11,C_LK98,295.333333333333
11,2009,11,C_NLP3,224
11,2009,11,D_1K,361932
11,2009,11,P_LK98,1442049.33333333
11,2009,11,P_NLP3,1080117.33333333
11,2009,11,Input_#3_C_1K,66.6666666666667
11,2009,11,Input_#3_C_LK98,279
11,2009,11,Input_#3_C_NLP3,212.333333333333
11,2009,11,Input_#3_D_1K,339668.333333333
11,2009,11,Input_#3_P_LK98,1368528.66666667
11,2009,11,Input_#3_P_NLP3,1028860.33333333
12,2009,12,RM Category,10 rm
12,2009,12,C.LK98,262
12,2009,12,P.LK98,1459032
12,2009,12,C.1K,80
12,2009,12,D.1K,398090
12,2009,12,C.NLP3,182
12,2009,12,P.NLP3,1060942
12,2009,12,C_1K,73.3333333333333
12,2009,12,C_LK98,248.666666666667
12,2009,12,C_NLP3,175.333333333333
12,2009,12,D_1K,365826.666666667
12,2009,12,P_LK98,1303018.66666667
12,2009,12,P_NLP3,937192
12,2009,12,Input_#3_C_1K,68.3333333333333
12,2009,12,Input_#3_C_LK98,279.666666666667
12,2009,12,Input_#3_C_NLP3,211.333333333333
12,2009,12,Input_#3_D_1K,344088.666666667
12,2009,12,Input_#3_P_LK98,1385624.66666667
12,2009,12,Input_#3_P_NLP3,1041536
13,2010,1,RM Category,10 rm
13,2010,1,C.LK98,184
13,2010,1,P.LK98,1050048
13,2010,1,C.1K,40
13,2010,1,D.1K,201974
13,2010,1,C.NLP3,144
13,2010,1,P.NLP3,848074
13,2010,1,C_1K,62
13,2010,1,C_LK98,232
13,2010,1,C_NLP3,170
13,2010,1,D_1K,309525.333333333
13,2010,1,P_LK98,1241484.66666667
13,2010,1,P_NLP3,931959.333333333
13,2010,1,Input_#3_C_1K,63.6666666666667
13,2010,1,Input_#3_C_LK98,265.333333333333
13,2010,1,Input_#3_C_NLP3,201.666666666667
13,2010,1,Input_#3_D_1K,320427.666666667
13,2010,1,Input_#3_P_LK98,1334228.33333333
13,2010,1,Input_#3_P_NLP3,1013800.66666667
14,2010,2,RM Category,10 rm
14,2010,2,C.LK98,190
14,2010,2,P.LK98,1041078
14,2010,2,C.1K,42
14,2010,2,D.1K,209250
14,2010,2,C.NLP3,148
14,2010,2,P.NLP3,831828
14,2010,2,C_1K,54
14,2010,2,C_LK98,212
14,2010,2,C_NLP3,158
14,2010,2,D_1K,269771.333333333
14,2010,2,P_LK98,1183386
14,2010,2,P_NLP3,913614.666666667
14,2010,2,Input_#3_C_1K,62.6666666666667
14,2010,2,Input_#3_C_LK98,253.666666666667
14,2010,2,Input_#3_C_NLP3,191
14,2010,2,Input_#3_D_1K,315851.666666667
14,2010,2,Input_#3_P_LK98,1312717.66666667
14,2010,2,Input_#3_P_NLP3,996866
15,2010,3,RM Category,10 rm
15,2010,3,C.LK98,312
15,2010,3,P.LK98,1758544
15,2010,3,C.1K,58
15,2010,3,D.1K,306082
15,2010,3,C.NLP3,254
15,2010,3,P.NLP3,1452462
15,2010,3,C_1K,46.6666666666667
15,2010,3,C_LK98,228.666666666667
15,2010,3,C_NLP3,182
15,2010,3,D_1K,239102
15,2010,3,P_LK98,1283223.33333333
15,2010,3,P_NLP3,1044121.33333333
15,2010,3,Input_#3_C_1K,60
15,2010,3,Input_#3_C_LK98,238.666666666667
15,2010,3,Input_#3_C_NLP3,178.666666666667
15,2010,3,Input_#3_D_1K,302464.333333333
15,2010,3,Input_#3_P_LK98,1293121
15,2010,3,Input_#3_P_NLP3,990656.666666667
16,2010,4,RM Category,10 rm
16,2010,4,C.LK98,188
16,2010,4,P.LK98,1054358
16,2010,4,C.1K,50
16,2010,4,D.1K,284852
16,2010,4,C.NLP3,138
16,2010,4,P.NLP3,769506
16,2010,4,C_1K,50
16,2010,4,C_LK98,230
16,2010,4,C_NLP3,180
16,2010,4,D_1K,266728
16,2010,4,P_LK98,1284660
16,2010,4,P_NLP3,1017932
16,2010,4,Input_#3_C_1K,56
16,2010,4,Input_#3_C_LK98,231
16,2010,4,Input_#3_C_NLP3,175
16,2010,4,Input_#3_D_1K,288126.666666667
16,2010,4,Input_#3_P_LK98,1263072.33333333
16,2010,4,Input_#3_P_NLP3,974945.666666667
17,2010,5,RM Category,10 rm
17,2010,5,C.LK98,296
17,2010,5,P.LK98,1268726
17,2010,5,C.1K,54
17,2010,5,D.1K,302220
17,2010,5,C.NLP3,242
17,2010,5,P.NLP3,966506
17,2010,5,C_1K,54
17,2010,5,C_LK98,265.333333333333
17,2010,5,C_NLP3,211.333333333333
17,2010,5,D_1K,297718
